id,company,count,total,update_time
1,84.51°,4,68,"2022-11-02 20:18:53.000000"
2,"Factored AI",3,68,"2022-11-02 20:18:53.000000"
3,Farfetch,3,68,"2022-11-02 20:18:53.000000"
4,PandasDev,3,68,"2022-11-02 20:18:53.000000"
5,"Voltron Data",5,68,"2022-11-02 20:18:53.000000"
6,Zonos,3,68,"2022-11-02 20:18:53.000000"
7,Zyppio,4,68,"2022-11-02 20:18:53.000000"
