id,node_id,company,get_time
63,MDQ6VXNlcjMxMDU0Nzkz,PYTORCH,"2022-10-27 09:01:01.000000"
64,MDQ6VXNlcjMxMDU0Nzkz,PYTORCH,"2022-10-27 09:01:01.000000"
65,MDQ6VXNlcjMxMDU0Nzkz,PYTORCH,"2022-10-27 09:01:01.000000"
66,MDQ6VXNlcjMxMDU0Nzkz,PYTORCH,"2022-10-27 09:01:01.000000"
67,MDQ6VXNlcjMxMDU0Nzkz,PYTORCH,"2022-10-27 09:01:01.000000"
68,MDQ6VXNlcjMxMDU0Nzkz,PYTORCH,"2022-10-27 09:01:01.000000"
69,MDQ6VXNlcjMyOTEyNjU=,QUANSIGHT,"2022-10-27 09:01:01.000000"
70,MDQ6VXNlcjMyOTEyNjU=,QUANSIGHT,"2022-10-27 09:01:01.000000"
71,MDQ6VXNlcjMyOTEyNjU=,QUANSIGHT,"2022-10-27 09:01:01.000000"
72,MDQ6VXNlcjIyMzk2MTY=,NVIDIA,"2022-10-27 09:01:01.000000"
73,MDQ6VXNlcjEzMDg5Mjk3,FACEBOOK,"2022-10-27 09:01:01.000000"
74,MDQ6VXNlcjEzMDg5Mjk3,FACEBOOK,"2022-10-27 09:01:01.000000"
75,MDQ6VXNlcjEzMDg5Mjk3,FACEBOOK,"2022-10-27 09:01:01.000000"
76,MDQ6VXNlcjEzMDg5Mjk3,FACEBOOK,"2022-10-27 09:01:01.000000"
77,MDQ6VXNlcjM2Mzc4OTY=,RICEUNIVERSITYRUSHLABNVIDIA,"2022-10-27 09:01:01.000000"
78,MDQ6VXNlcjk5MDY3NDU=,PYTORCH,"2022-10-27 09:01:01.000000"
79,MDQ6VXNlcjM2NTk5NjI=,FACEBOOK,"2022-10-27 09:01:01.000000"
80,MDQ6VXNlcjQ0Njg5Njc=,GOOGLE,"2022-10-27 09:01:01.000000"
81,MDQ6VXNlcjE3MDA4MjM=,PYTORCH,"2022-10-27 09:01:01.000000"
82,MDQ6VXNlcjEzMjM4NzM3,QUANSIGHT,"2022-10-27 09:01:01.000000"
