time,issues
2018-12-12,797
2018-12-13,801
2018-12-15,806
2018-12-16,808
2018-12-17,815
2018-12-18,817
2018-12-19,819
2018-12-20,822
2018-12-21,825
2018-12-29,828
2018-12-30,829
2019-01-03,830
2019-01-04,831
2019-01-06,832
2019-01-08,836
2019-01-09,839
2019-01-10,840
2019-01-11,841
2019-01-12,842
2019-01-13,843
2019-01-14,844
2019-01-16,845
2019-01-18,847
2019-01-19,848
2019-01-20,849
2019-01-23,856
2019-01-24,866
2019-01-25,869
2019-01-26,871
2019-01-27,872
2019-01-28,875
2019-01-29,879
2019-01-30,881
2019-01-31,886
2019-02-01,892
2019-02-02,893
2019-02-03,896
2019-02-04,900
2019-02-06,903
2019-02-07,905
2019-02-08,909
2019-02-10,911
2019-02-11,914
2019-02-12,916
2019-02-13,918
2019-02-14,920
2019-02-15,924
2019-02-16,925
2019-02-17,926
2019-02-18,927
2019-02-19,930
2019-02-20,932
2019-02-21,935
2019-02-23,936
2019-02-24,937
2019-02-25,938
2019-02-26,939
2019-02-27,943
2019-03-01,945
2019-03-02,947
2019-03-03,948
2019-03-04,951
2019-03-05,952
2019-03-06,955
2019-03-07,957
2019-03-08,961
2019-03-09,962
2019-03-10,964
2019-03-11,970
2019-03-12,976
2019-03-13,980
2019-03-14,982
2019-03-15,983
2019-03-16,987
2019-03-19,990
2019-03-20,994
2019-03-21,996
2019-03-22,1001
2019-03-23,1003
2019-03-25,1008
2019-03-26,1010
2019-03-27,1013
2019-03-29,1016
2019-03-30,1021
2019-04-01,1023
2019-04-02,1026
2019-04-03,1029
2019-04-04,1034
2019-04-05,1037
2019-04-06,1039
2019-04-07,1041
2019-04-08,1044
2019-04-09,1046
2019-04-10,1054
2019-04-11,1061
2019-04-12,1063
2019-04-13,1065
2019-04-14,1066
2019-04-15,1068
2019-04-17,1071
2019-04-18,1075
2019-04-19,1078
2019-04-20,1079
2019-04-22,1082
2019-04-23,1086
2019-04-24,1091
2019-04-25,1094
2019-04-27,1096
2019-04-29,1098
2019-04-30,1101
2019-05-01,1104
2019-05-02,1108
2019-05-03,1111
2019-05-04,1112
2019-05-05,1114
2019-05-06,1120
2019-05-07,1125
2019-05-08,1128
2019-05-09,1130
2019-05-10,1136
2019-05-12,1138
2019-05-13,1141
2019-05-14,1145
2019-05-15,1149
2019-05-16,1152
2019-05-17,1156
2019-05-18,1157
2019-05-19,1158
2019-05-20,1161
2019-05-21,1166
2019-05-22,1168
2019-05-23,1170
2019-05-24,1171
2019-05-26,1173
2019-05-27,1175
2019-05-28,1182
2019-05-29,1185
2019-05-30,1191
2019-06-01,1192
2019-06-03,1195
2019-06-04,1196
2019-06-05,1199
2019-06-06,1206
2019-06-07,1208
2019-06-08,1211
2019-06-10,1213
2019-06-11,1214
2019-06-12,1219
2019-06-13,1223
2019-06-14,1228
2019-06-15,1231
2019-06-16,1233
2019-06-17,1235
2019-06-18,1237
2019-06-19,1238
2019-06-20,1244
2019-06-21,1247
2019-06-23,1248
2019-06-24,1252
2019-06-25,1254
2019-06-26,1259
2019-06-28,1265
2019-06-29,1267
2019-06-30,1269
2019-07-01,1274
2019-07-02,1277
2019-07-03,1281
2019-07-04,1284
2019-07-05,1286
2019-07-07,1289
2019-07-08,1292
2019-07-09,1294
2019-07-10,1299
2019-07-11,1302
2019-07-12,1307
2019-07-14,1308
2019-07-15,1311
2019-07-16,1314
2019-07-17,1316
2019-07-18,1319
2019-07-19,1328
2019-07-22,1330
2019-07-23,1334
2019-07-24,1338
2019-07-25,1341
2019-07-26,1345
2019-07-27,1346
2019-07-28,1347
2019-07-29,1350
2019-07-30,1352
2019-08-01,1355
2019-08-02,1360
2019-08-03,1361
2019-08-04,1363
2019-08-05,1365
2019-08-06,1373
2019-08-07,1378
2019-08-08,1385
2019-08-09,1391
2019-08-10,1393
2019-08-11,1394
2019-08-12,1401
2019-08-13,1410
2019-08-14,1418
2019-08-15,1426
2019-08-16,1435
2019-08-17,1436
2019-08-18,1439
2019-08-19,1446
2019-08-20,1452
2019-08-21,1457
2019-08-22,1465
2019-08-23,1473
2019-08-24,1475
2019-08-25,1478
2019-08-26,1481
2019-08-27,1482
2019-08-28,1487
2019-08-29,1493
2019-08-30,1499
2019-08-31,1503
2019-09-01,1504
2019-09-02,1506
2019-09-03,1509
2019-09-04,1514
2019-09-05,1517
2019-09-06,1524
2019-09-07,1527
2019-09-09,1529
2019-09-10,1533
2019-09-11,1537
2019-09-12,1547
2019-09-13,1551
2019-09-14,1552
2019-09-15,1553
2019-09-16,1554
2019-09-17,1560
2019-09-18,1565
2019-09-19,1568
2019-09-20,1572
2019-09-23,1574
2019-09-24,1577
2019-09-25,1581
2019-09-26,1584
2019-09-27,1590
2019-09-28,1592
2019-09-29,1595
2019-09-30,1601
2019-10-01,1606
2019-10-02,1607
2019-10-03,1613
2019-10-04,1617
2019-10-05,1618
2019-10-07,1624
2019-10-08,1629
2019-10-09,1637
2019-10-10,1642
2019-10-11,1647
2019-10-12,1648
2019-10-14,1654
2019-10-15,1661
2019-10-16,1667
2019-10-17,1682
2019-10-18,1689
2019-10-19,1690
2019-10-20,1691
2019-10-21,1692
2019-10-22,1697
2019-10-23,1706
2019-10-24,1709
2019-10-25,1713
2019-10-26,1718
2019-10-27,1722
2019-10-28,1727
2019-10-29,1730
2019-10-30,1738
2019-10-31,1745
2019-11-01,1754
2019-11-02,1757
2019-11-04,1764
2019-11-05,1771
2019-11-06,1772
2019-11-07,1780
2019-11-08,1781
2019-11-09,1783
2019-11-10,1786
2019-11-11,1791
2019-11-12,1796
2019-11-13,1809
2019-11-14,1818
2019-11-15,1821
2019-11-16,1823
2019-11-17,1824
2019-11-18,1826
2019-11-20,1832
2019-11-21,1839
2019-11-22,1841
2019-11-23,1843
2019-11-24,1848
2019-11-25,1857
2019-11-26,1865
2019-11-27,1872
2019-11-29,1876
2019-12-01,1878
2019-12-02,1883
2019-12-03,1886
2019-12-04,1894
2019-12-05,1902
2019-12-06,1909
2019-12-07,1911
2019-12-09,1920
2019-12-10,1923
2019-12-11,1929
2019-12-12,1933
2019-12-13,1939
2019-12-14,1941
2019-12-15,1942
2019-12-16,1948
2019-12-17,1957
2019-12-18,1961
2019-12-19,1969
2019-12-20,1971
2019-12-21,1975
2019-12-22,1978
2019-12-23,1983
2019-12-24,1986
2019-12-25,1988
2019-12-26,1989
2019-12-27,1993
2019-12-28,1994
2019-12-29,1997
2019-12-30,2000
2019-12-31,2002
2020-01-01,2004
2020-01-02,2009
2020-01-03,2014
2020-01-04,2016
2020-01-05,2018
2020-01-06,2022
2020-01-07,2025
2020-01-08,2030
2020-01-09,2034
2020-01-10,2045
2020-01-11,2046
2020-01-12,2048
2020-01-13,2059
2020-01-14,2068
2020-01-15,2073
2020-01-16,2086
2020-01-17,2095
2020-01-18,2096
2020-01-19,2100
2020-01-20,2105
2020-01-21,2109
2020-01-22,2115
2020-01-23,2122
2020-01-24,2130
2020-01-25,2131
2020-01-27,2136
2020-01-28,2142
2020-01-29,2150
2020-01-30,2153
2020-01-31,2160
2020-02-01,2163
2020-02-02,2165
2020-02-03,2168
2020-02-04,2171
2020-02-05,2175
2020-02-06,2183
2020-02-07,2191
2020-02-08,2193
2020-02-09,2195
2020-02-11,2198
2020-02-12,2203
2020-02-13,2209
2020-02-14,2216
2020-02-15,2219
