update_date,cnt
2021/09/09,2
2021/09/11,1
2021/09/12,1
2021/09/14,1
2021/09/20,1
2021/09/21,1
2021/09/26,1
2021/09/30,11
2021/10/01,7
2021/10/02,5
2021/10/03,2
2021/10/04,3
2021/10/06,1
2021/10/07,1
2021/10/09,1
2021/10/11,2
2021/10/12,1
2021/10/13,4
2021/10/14,1
2021/10/15,1
2021/10/16,5
2021/10/17,3
2021/10/18,1
2021/10/20,2
2021/10/21,2
2021/10/22,3
2021/10/24,2
2021/10/29,12
2021/10/30,8
2021/10/31,1
2021/11/01,1
2021/11/02,1
2021/11/04,1
2021/11/05,2
2021/11/06,2
2021/11/09,1
2021/11/10,3
2021/11/11,2
2021/11/14,3
2021/11/15,1
2021/11/16,3
2021/11/17,1
2021/11/18,1
2021/11/20,3
2021/11/21,2
2021/11/22,1
2021/11/23,1
2021/11/24,2
2021/11/27,1
2021/11/28,1
2021/11/29,1
2021/11/30,1
2021/12/02,1
2021/12/03,2
2021/12/04,2
2021/12/08,2
2021/12/09,2
2021/12/10,2
2021/12/11,2
2021/12/14,2
2021/12/15,3
2021/12/16,1
2021/12/17,2
2021/12/18,3
2021/12/20,3
2021/12/21,10
2021/12/22,2
2021/12/23,4
2021/12/24,1
2021/12/25,1
2021/12/26,2
2021/12/27,16
2021/12/28,3
2021/12/29,1
2021/12/30,3
2022/01/01,2
2022/01/02,1
2022/01/03,2
2022/01/04,2
2022/01/05,2
2022/01/06,2
2022/01/07,2
2022/01/08,13
2022/01/09,1
2022/01/10,13
2022/01/12,1
2022/01/13,10
2022/01/14,3
2022/01/16,2
2022/01/17,9
2022/01/18,1
2022/01/20,12
2022/01/21,2
2022/01/22,3
2022/01/24,1
2022/01/25,1
2022/01/26,2
2022/01/27,2
2022/01/29,2
2022/01/30,2
2022/01/31,1
2022/02/02,3
2022/02/06,3
2022/02/07,1
2022/02/08,1
2022/02/09,1
2022/02/10,4
2022/02/11,9
2022/02/12,1
2022/02/13,2
2022/02/14,1
2022/02/15,1
2022/02/16,2
2022/02/17,3
2022/02/18,3
2022/02/20,2
2022/02/21,1
2022/02/22,2
2022/02/23,1
2022/02/24,2
2022/02/25,2
2022/02/26,1
2022/02/27,1
2022/02/28,1
2022/03/01,1
2022/03/02,1
2022/03/03,2
2022/03/06,2
2022/03/08,1
2022/03/11,1
2022/03/12,1
2022/03/13,1
2022/03/14,1
2022/03/15,2
2022/03/16,18
2022/03/17,8
2022/03/18,1
2022/03/22,2
2022/03/23,6
2022/03/24,1
2022/03/25,3
2022/03/27,1
2022/03/28,1
2022/03/29,1
2022/04/01,5
2022/04/02,5
2022/04/04,2
2022/04/05,1
2022/04/06,2
2022/04/07,3
2022/04/10,3
2022/04/11,4
2022/04/12,1
2022/04/13,1
2022/04/14,1
2022/04/15,2
2022/04/16,1
2022/04/18,3
2022/04/19,1
2022/04/22,2
2022/04/26,1
2022/04/28,1
2022/05/03,1
2022/05/04,2
2022/05/05,2
2022/05/07,2
2022/05/09,1
2022/05/10,1
2022/05/15,1
2022/05/17,3
2022/05/18,3
2022/05/19,1
2022/05/20,2
2022/05/23,2
2022/05/24,2
2022/05/25,2
2022/05/26,3
2022/05/27,3
2022/05/30,3
2022/05/31,1
2022/06/01,1
2022/06/02,3
2022/06/03,2
2022/06/05,1
2022/06/06,3
2022/06/07,1
2022/06/08,2
2022/06/09,1
2022/06/10,1
2022/06/11,5
2022/06/13,3
2022/06/17,2
2022/06/20,2
2022/06/21,4
2022/06/22,2
2022/06/23,2
2022/06/24,2
2022/06/25,4
2022/06/28,2
2022/06/29,2
2022/07/01,7
2022/07/04,1
2022/07/05,2
2022/07/06,23
2022/07/07,11
2022/07/08,1
2022/07/09,2
2022/07/10,2
2022/07/11,5
2022/07/12,4
2022/07/13,1
2022/07/14,1
2022/07/15,1
2022/07/16,2
2022/07/18,5
2022/07/19,1
2022/07/20,1
2022/07/21,1
2022/07/22,2
2022/07/23,2
2022/07/24,1
2022/07/25,3
2022/07/26,1
2022/07/27,2
2022/07/28,3
2022/07/29,1
2022/07/31,3
2022/08/01,1
2022/08/04,5
2022/08/05,4
2022/08/06,1
2022/08/07,2
2022/08/08,3
2022/08/09,1
2022/08/11,13
2022/08/12,6
2022/08/13,1
2022/08/14,1
2022/08/15,31
2022/08/16,4
2022/08/18,2
2022/08/19,1
2022/08/20,3
2022/08/21,1
2022/08/22,1
2022/08/23,2
2022/08/25,6
2022/08/26,3
2022/08/27,1
2022/08/29,3
2022/08/30,10
2022/08/31,1
2022/09/01,2
2022/09/04,1
2022/09/05,6
2022/09/06,3
2022/09/07,2
2022/09/08,5
2022/09/09,4
